Frame,Timestamp,Event
5928,1744588348.3645267,Start of Saving Image: frame_5928.png
5928,1744588348.3818061,End of Saving Image: frame_5928.png
5930,1744588348.3758876,Start of Frame 5930
5930,1744588348.3879275,End of Frame 5930
5931,1744588348.3955946,Start Get Vehicle Position (on manual_control.py Side)
5931,1744588348.3956084,End Get Vehicle Position (on manual_control.py Side)
5931,1744588348.3955958,Start Get Vehicle Position (on record.py Side)
5931,1744588348.3956072,End Get Vehicle Position (on record.py Side)
5929,1744588348.3821402,Start of Saving Image: frame_5929.png
5929,1744588348.3967726,End of Saving Image: frame_5929.png
5931,1744588348.3879423,Start of Frame 5931
5931,1744588348.4015188,End of Frame 5931
5932,1744588348.4115815,Start Get Vehicle Position (on manual_control.py Side)
5932,1744588348.4116023,End Get Vehicle Position (on manual_control.py Side)
5932,1744588348.411583,Start Get Vehicle Position (on record.py Side)
5932,1744588348.4116008,End Get Vehicle Position (on record.py Side)
5930,1744588348.397005,Start of Saving Image: frame_5930.png
5930,1744588348.413795,End of Saving Image: frame_5930.png
5931,1744588348.4142108,Start of Saving Image: frame_5931.png
5931,1744588348.4238136,End of Saving Image: frame_5931.png
5932,1744588348.4015298,Start of Frame 5932
5932,1744588348.426318,End of Frame 5932
5932,1744588348.4275017,Start Get Vehicle Position (on manual_control.py Side)
5932,1744588348.4275208,End Get Vehicle Position (on manual_control.py Side)
5932,1744588348.4275029,Start Get Vehicle Position (on record.py Side)
5932,1744588348.4275198,End Get Vehicle Position (on record.py Side)
5932,1744588348.4263258,Start of Frame 5932
5932,1744588348.4343884,End of Frame 5932
5933,1744588348.4439821,Start Get Vehicle Position (on manual_control.py Side)
5933,1744588348.4440005,End Get Vehicle Position (on manual_control.py Side)
5933,1744588348.4439836,Start Get Vehicle Position (on record.py Side)
5933,1744588348.4439995,End Get Vehicle Position (on record.py Side)
5933,1744588348.4344008,Start of Frame 5933
5933,1744588348.4522195,End of Frame 5933
5934,1744588348.4596841,Start Get Vehicle Position (on manual_control.py Side)
5934,1744588348.4596999,End Get Vehicle Position (on manual_control.py Side)
5934,1744588348.4596853,Start Get Vehicle Position (on record.py Side)
5934,1744588348.4596987,End Get Vehicle Position (on record.py Side)
5932,1744588348.4437566,Start of Saving Image: frame_5932.png
5932,1744588348.460775,End of Saving Image: frame_5932.png
5934,1744588348.4522324,Start of Frame 5934
5934,1744588348.465696,End of Frame 5934
5935,1744588348.4755769,Start Get Vehicle Position (on manual_control.py Side)
5935,1744588348.4755912,End Get Vehicle Position (on manual_control.py Side)
5935,1744588348.475578,Start Get Vehicle Position (on record.py Side)
5935,1744588348.47559,End Get Vehicle Position (on record.py Side)
5933,1744588348.4611838,Start of Saving Image: frame_5933.png
5933,1744588348.476806,End of Saving Image: frame_5933.png
5934,1744588348.477029,Start of Saving Image: frame_5934.png
5934,1744588348.4853995,End of Saving Image: frame_5934.png
5935,1744588348.4657068,Start of Frame 5935
5935,1744588348.4857383,End of Frame 5935
5935,1744588348.491495,Start Get Vehicle Position (on manual_control.py Side)
5935,1744588348.4915102,End Get Vehicle Position (on manual_control.py Side)
5935,1744588348.4914958,Start Get Vehicle Position (on record.py Side)
5935,1744588348.491509,End Get Vehicle Position (on record.py Side)
5935,1744588348.4857433,Start of Frame 5935
5935,1744588348.498056,End of Frame 5935
5936,1744588348.5076458,Start Get Vehicle Position (on manual_control.py Side)
5936,1744588348.50767,End Get Vehicle Position (on manual_control.py Side)
5936,1744588348.5076473,Start Get Vehicle Position (on record.py Side)
5936,1744588348.5076687,End Get Vehicle Position (on record.py Side)
5935,1744588348.4952276,Start of Saving Image: frame_5935.png
5935,1744588348.5097747,End of Saving Image: frame_5935.png
5936,1744588348.498067,Start of Frame 5936
5936,1744588348.5165138,End of Frame 5936
5937,1744588348.5235045,Start Get Vehicle Position (on manual_control.py Side)
5937,1744588348.5235193,End Get Vehicle Position (on manual_control.py Side)
5937,1744588348.5235057,Start Get Vehicle Position (on record.py Side)
5937,1744588348.5235178,End Get Vehicle Position (on record.py Side)
5937,1744588348.5165262,Start of Frame 5937
5937,1744588348.5309749,End of Frame 5937
5937,1744588348.5395536,Start Get Vehicle Position (on manual_control.py Side)
5937,1744588348.5395682,End Get Vehicle Position (on manual_control.py Side)
5937,1744588348.5395544,Start Get Vehicle Position (on record.py Side)
5937,1744588348.539567,End Get Vehicle Position (on record.py Side)
5936,1744588348.5239031,Start of Saving Image: frame_5936.png
5936,1744588348.5408912,End of Saving Image: frame_5936.png
5937,1744588348.5424113,Start of Saving Image: frame_5937.png
5937,1744588348.5502534,End of Saving Image: frame_5937.png
5937,1744588348.5309834,Start of Frame 5937
5937,1744588348.5525622,End of Frame 5937
5938,1744588348.5554993,Start Get Vehicle Position (on manual_control.py Side)
5938,1744588348.5555143,End Get Vehicle Position (on manual_control.py Side)
5938,1744588348.5555003,Start Get Vehicle Position (on record.py Side)
5938,1744588348.5555131,End Get Vehicle Position (on record.py Side)
5938,1744588348.552569,Start of Frame 5938
5938,1744588348.5602276,End of Frame 5938
5939,1744588348.571997,Start Get Vehicle Position (on manual_control.py Side)
5939,1744588348.5720103,End Get Vehicle Position (on manual_control.py Side)
5939,1744588348.5719981,Start Get Vehicle Position (on record.py Side)
5939,1744588348.5720093,End Get Vehicle Position (on record.py Side)
5939,1744588348.5602348,Start of Frame 5939
5939,1744588348.57932,End of Frame 5939
5940,1744588348.5875483,Start Get Vehicle Position (on manual_control.py Side)
5940,1744588348.5875623,End Get Vehicle Position (on manual_control.py Side)
5940,1744588348.5875492,Start Get Vehicle Position (on record.py Side)
5940,1744588348.5875611,End Get Vehicle Position (on record.py Side)
5938,1744588348.5719025,Start of Saving Image: frame_5938.png
5938,1744588348.5886755,End of Saving Image: frame_5938.png
5940,1744588348.5793285,Start of Frame 5940
5940,1744588348.5946064,End of Frame 5940
5941,1744588348.603587,Start Get Vehicle Position (on manual_control.py Side)
5941,1744588348.6036026,End Get Vehicle Position (on manual_control.py Side)
5941,1744588348.6035883,Start Get Vehicle Position (on record.py Side)
5941,1744588348.6036015,End Get Vehicle Position (on record.py Side)
5939,1744588348.5889194,Start of Saving Image: frame_5939.png
5939,1744588348.6047223,End of Saving Image: frame_5939.png
5916,1744588348.3537223,Start of Saving Image: frame_5916.png
5916,1744588348.6048179,End of Saving Image: frame_5916.png
5941,1744588348.5946147,Start of Frame 5941
5941,1744588348.613842,End of Frame 5941
5941,1744588348.619489,Start Get Vehicle Position (on manual_control.py Side)
5941,1744588348.6195033,End Get Vehicle Position (on manual_control.py Side)
5941,1744588348.6194901,Start Get Vehicle Position (on record.py Side)
5941,1744588348.6195023,End Get Vehicle Position (on record.py Side)
5940,1744588348.6120179,Start of Saving Image: frame_5940.png
5940,1744588348.6208355,End of Saving Image: frame_5940.png
5941,1744588348.6138492,Start of Frame 5941
5941,1744588348.6243691,End of Frame 5941
5942,1744588348.6355917,Start Get Vehicle Position (on manual_control.py Side)
5942,1744588348.6356063,End Get Vehicle Position (on manual_control.py Side)
5942,1744588348.635593,Start Get Vehicle Position (on record.py Side)
5942,1744588348.6356053,End Get Vehicle Position (on record.py Side)
5941,1744588348.6225708,Start of Saving Image: frame_5941.png
5941,1744588348.6368957,End of Saving Image: frame_5941.png
5942,1744588348.6243756,Start of Frame 5942
5942,1744588348.640316,End of Frame 5942
5943,1744588348.651974,Start Get Vehicle Position (on manual_control.py Side)
5943,1744588348.6519864,End Get Vehicle Position (on manual_control.py Side)
5943,1744588348.6519747,Start Get Vehicle Position (on record.py Side)
5943,1744588348.6519845,End Get Vehicle Position (on record.py Side)
5943,1744588348.640321,Start of Frame 5943
5943,1744588348.65829,End of Frame 5943
5943,1744588348.6677914,Start Get Vehicle Position (on manual_control.py Side)
5943,1744588348.6678126,End Get Vehicle Position (on manual_control.py Side)
5943,1744588348.667793,Start Get Vehicle Position (on record.py Side)
5943,1744588348.6678112,End Get Vehicle Position (on record.py Side)
5942,1744588348.6518416,Start of Saving Image: frame_5942.png
5942,1744588348.669824,End of Saving Image: frame_5942.png
5943,1744588348.6700606,Start of Saving Image: frame_5943.png
5943,1744588348.6776094,End of Saving Image: frame_5943.png
5943,1744588348.6583004,Start of Frame 5943
5943,1744588348.6812625,End of Frame 5943
5944,1744588348.6834836,Start Get Vehicle Position (on manual_control.py Side)
5944,1744588348.683497,End Get Vehicle Position (on manual_control.py Side)
5944,1744588348.6834843,Start Get Vehicle Position (on record.py Side)
5944,1744588348.6834962,End Get Vehicle Position (on record.py Side)
5944,1744588348.6812675,Start of Frame 5944
5944,1744588348.6885862,End of Frame 5944
5945,1744588348.6998544,Start Get Vehicle Position (on manual_control.py Side)
5945,1744588348.6998677,End Get Vehicle Position (on manual_control.py Side)
5945,1744588348.6998553,Start Get Vehicle Position (on record.py Side)
5945,1744588348.6998665,End Get Vehicle Position (on record.py Side)
5945,1744588348.6885965,Start of Frame 5945
5945,1744588348.706843,End of Frame 5945
5946,1744588348.7157145,Start Get Vehicle Position (on manual_control.py Side)
5946,1744588348.7157316,End Get Vehicle Position (on manual_control.py Side)
5946,1744588348.7157161,Start Get Vehicle Position (on record.py Side)
5946,1744588348.7157302,End Get Vehicle Position (on record.py Side)
5944,1744588348.6997116,Start of Saving Image: frame_5944.png
5944,1744588348.7168565,End of Saving Image: frame_5944.png
5946,1744588348.7068548,Start of Frame 5946
5946,1744588348.7211742,End of Frame 5946
5947,1744588348.7315505,Start Get Vehicle Position (on manual_control.py Side)
5947,1744588348.7315664,End Get Vehicle Position (on manual_control.py Side)
5947,1744588348.7315516,Start Get Vehicle Position (on record.py Side)
5947,1744588348.731565,End Get Vehicle Position (on record.py Side)
